YEAR,MONTH,DAY,DATE,SITE,TRANSECT,DISTANCE,SIDE,SP_CODE_1,SP_CODE_2,SP_CODE_3,SUBSTRTE,OBSERVER,NOTES,ENTERED BY,CHECKED BY,DEPTH @ 0 M,DEPTH @ 40 M,VISIBILITY,TEMP,SP_CODE_0,SP_CODE_4,SP_CODE_5
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,25,I,ECTO,,,BM,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,25,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,26,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,26,O,COTR,ASPO,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,27,I,LADI,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,27,O,,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,28,I,ASPO,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,28,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,29,I,PAPA,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,29,O,SL,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,30,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,30,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,31,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,31,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,32,I,BUNE,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,32,O,ECTO,COTR,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,33,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,33,O,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,34,I,COTR,,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
2016,8,23,2016-08-23T00:00:00Z,Ft. Weatherill,1,34,O,COTR,ASPO,,BL,LINDSAY GREEN,,LINDSAY GREEN,Jack Girard,7,8,2,,,,
